model_type        , lang, avg_length
dpo_250426        , ru  ,     1449.0
npo_checkpoint-10 , ru  ,     1655.0
ppo_150426        , ru  ,     1524.0
npo_checkpoint-4  , ru  ,     1620.0
npo_checkpoint-3  , ru  ,     1651.0
npo_checkpoint-5  , ru  ,     1655.0
npo_checkpoint-2  , ru  ,     1652.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo_checkpoint-20 , ru  ,     4095.0
npo               , ru  ,       15.0
npo_checkpoint-30 , ru  ,     1478.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
ppo_150426        , ru  ,     1524.0
npo_checkpoint-3  , ru  ,     1651.0
npo_checkpoint-2  , ru  ,     1652.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
ppo_150426        , ru  ,     1524.0
npo_checkpoint-4  , ru  ,     1620.0
npo_checkpoint-3  , ru  ,     1651.0
npo_checkpoint-2  , ru  ,     1652.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
ppo_150426        , ru  ,     1524.0
npo_checkpoint-4  , ru  ,     1620.0
npo_checkpoint-3  , ru  ,     1651.0
npo_checkpoint-5  , ru  ,     1655.0
npo_checkpoint-2  , ru  ,     1652.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
ppo_150426        , ru  ,     1524.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
sft_150426        , ru  ,     2048.0
